date,utxosInProfitPct
2022-12-07,70.5628
2022-12-08,72.1324
2022-12-09,71.8202
2022-12-10,71.5146
2022-12-11,71.3778
2022-12-12,72.1192
2022-12-13,72.4801
2022-12-14,72.3374
2022-12-15,71.866
2022-12-16,69.5559
2022-12-17,70.169
2022-12-18,70.047
2022-12-19,68.721
2022-12-20,70.996
2022-12-21,70.4702
2022-12-22,70.6523
2022-12-23,70.1205
2022-12-24,70.7026
2022-12-25,70.8458
2022-12-26,71.519
2022-12-27,69.6389
2022-12-28,68.9181
2022-12-29,69.672
2022-12-30,69.5071
2022-12-31,68.8538
2023-01-01,69.7294
2023-01-02,70.1996
2023-01-03,70.1512
2023-01-04,71.8132
2023-01-05,71.6251
2023-01-06,72.3981
2023-01-07,72.4364
2023-01-08,72.8686
2023-01-09,73.0133
2023-01-10,73.5429
2023-01-11,73.9641
2023-01-12,74.5252
2023-01-13,76.8867
2023-01-14,78.7648
2023-01-15,78.4766
2023-01-16,78.9025
2023-01-17,78.7728
2023-01-18,77.5463
2023-01-19,78.531
2023-01-20,80.1457
2023-01-21,80.0024
2023-01-22,79.8461
2023-01-23,80.202
2023-01-24,79.4459
2023-01-25,80.4712
2023-01-26,80.2098
2023-01-27,80.2999
2023-01-28,79.9977
2023-01-29,81.1205
2023-01-30,79.2096
2023-01-31,80.3113
2023-02-01,81.076
2023-02-02,80.5998
2023-02-03,80.4798
2023-02-04,80.106
2023-02-05,79.0236
2023-02-06,78.2988
2023-02-07,80.3093
2023-02-08,78.9031
2023-02-09,77.5218
2023-02-10,77.4195
2023-02-11,77.8571
2023-02-12,77.5652
2023-02-13,77.8693
2023-02-14,78.4316
2023-02-15,81.8897
2023-02-16,80.9081
2023-02-17,81.7032
2023-02-18,81.7377
2023-02-19,81.1353
2023-02-20,81.7624
2023-02-21,81.0517
2023-02-22,80.9885
2023-02-23,80.5337
2023-02-24,79.348
2023-02-25,79.3879
2023-02-26,80.1624
2023-02-27,80.1659
2023-02-28,78.8947
2023-03-01,80.35
2023-03-02,79.9794
2023-03-03,77.1342
2023-03-04,77.05
2023-03-05,77.3835
2023-03-06,77.2707
2023-03-07,76.7549
2023-03-08,76.0881
2023-03-09,73.8318
2023-03-10,73.5921
2023-03-11,74.1886
2023-03-12,77.0353
2023-03-13,81.7314
2023-03-14,82.1661
2023-03-15,81.3215
2023-03-16,82.4585
2023-03-17,82.6754
2023-03-18,82.2944
2023-03-19,82.7591
2023-03-20,82.4109
2023-03-21,82.7079
2023-03-22,81.8172
2023-03-23,82.7554
2023-03-24,81.5895
2023-03-25,81.6031
2023-03-26,82.4624
2023-03-27,81.0595
2023-03-28,81.3291
2023-03-29,82.8106
2023-03-30,82.1528
2023-03-31,82.8928
2023-04-01,82.7691
2023-04-02,82.0983
2023-04-03,81.2127
2023-04-04,81.9111
2023-04-05,81.9537
2023-04-06,81.5043
2023-04-07,81.1015
2023-04-08,80.3553
2023-04-09,82.5472
2023-04-10,83.7925
2023-04-11,84.0887
2023-04-12,83.5334
2023-04-13,84.2558
2023-04-14,84.1846
2023-04-15,83.7854
2023-04-16,83.5389
2023-04-17,82.5323
2023-04-18,83.8369
2023-04-19,81.738
2023-04-20,80.9138
2023-04-21,79.1692
2023-04-22,79.9535
2023-04-23,79.5924
2023-04-24,79.4453
2023-04-25,81.6834
2023-04-26,81.8277
2023-04-27,82.8177
2023-04-28,82.3861
2023-04-29,81.9844
2023-04-30,82.4552
2023-05-01,79.424
2023-05-02,81.1247
2023-05-03,81.6653
2023-05-04,81.2946
2023-05-05,83.1498
2023-05-06,80.1246
2023-05-07,78.1771
2023-05-08,75.4569
2023-05-09,76.1453
2023-05-10,76.2081
2023-05-11,74.4426
2023-05-12,74.5164
2023-05-13,74.2045
2023-05-14,74.9931
2023-05-15,75.2611
2023-05-16,74.7765
2023-05-17,76.2274
2023-05-18,73.6157
2023-05-19,74.2061
2023-05-20,75.3934
2023-05-21,72.6775
2023-05-22,73.4375
2023-05-23,75.7721
2023-05-24,71.8718
2023-05-25,72.2414
2023-05-26,72.5942
2023-05-27,74.0492
2023-05-28,80.1643
2023-05-29,78.6316
2023-05-30,78.3642
2023-05-31,75.7729
2023-06-01,72.2034
2023-06-02,76.0469
2023-06-03,74.701
2023-06-04,74.872
2023-06-05,70.0656
2023-06-06,76.479
2023-06-07,70.8505
2023-06-08,71.041
2023-06-09,70.953
2023-06-10,70.0286
2023-06-11,70.277
2023-06-12,70.5879
2023-06-13,69.9085
2023-06-14,69.2932
2023-06-15,69.5476
2023-06-16,71.6058
2023-06-17,72.2184
2023-06-18,71.303
2023-06-19,74.2237
2023-06-20,82.1209
2023-06-21,85.8704
2023-06-22,85.4781
2023-06-23,86.4314
2023-06-24,86.1442
2023-06-25,86.6577
2023-06-26,85.2523
2023-06-27,86.2102
