date,age_0d_1d,age_1d_1w,age_1w_1m,age_1m_3m,age_3m_6m,age_6m_1y,age_1y_2y,age_2y_3y,age_3y_4y,age_4y_5y,age_5y_7y,age_7y_10y,age_10y
2011-02-08,53488.0,251393.6,909296.0,652553.6,711390.4,1208828.8,1326502.4,235347.2,0.0,0.0,0.0,0.0,0.0
2011-02-09,69659.2,230411.2,927003.2,648366.4,696592.0,1216356.8,1323524.8,241128.0,0.0,0.0,0.0,0.0,0.0
2011-02-10,69780.1,236178.8,928612.1,654859.4,692433.3,1218467.9,1325821.9,246914.2,0.0,0.0,0.0,0.0,0.0
2011-02-11,69901.0,241965.0,935598.0,650617.0,688256.0,1209825.0,1322742.0,252719.0,0.0,0.0,0.0,0.0,0.0
2011-02-12,43094.4,258566.4,942690.0,667963.2,689510.4,1206643.2,1325152.8,258566.4,0.0,0.0,0.0,0.0,0.0
2011-02-13,37776.9,248248.2,939025.8,690777.6,685380.9,1208860.8,1322191.5,264438.3,0.0,0.0,0.0,0.0,0.0
2011-02-14,70284.5,210853.5,983983.0,686625.5,692032.0,1184023.5,1319186.0,264918.5,0.0,0.0,0.0,0.0,0.0
2011-02-15,48759.75,232963.25,975195.0,693472.0,698889.75,1181069.5,1321931.0,270887.5,0.0,0.0,0.0,0.0,0.0
2011-02-16,32576.1,211744.65,999000.4,711244.85,700386.15,1183598.3,1319332.05,276896.85,0.0,0.0,0.0,0.0,0.0
2011-02-17,27204.5,201313.3,1001125.6,729080.6,701876.1,1169793.5,1327579.6,282926.8,0.0,0.0,0.0,0.0,0.0
2011-02-18,49063.5,163545.0,1013979.0,730501.0,703243.5,1166621.0,1324714.5,288929.5,0.0,0.0,0.0,0.0,0.0
2011-02-19,32757.3,174705.6,1026395.4,737039.25,709741.5,1168343.7,1326670.65,294815.7,0.0,0.0,0.0,0.0,0.0
2011-02-20,54694.5,175022.4,1000909.35,738375.75,705559.05,1170462.3,1323606.9,300819.75,0.0,0.0,0.0,0.0,0.0
2011-02-21,32874.9,158895.35,1035559.35,739685.25,717768.65,1161579.8,1325954.3,301353.25,0.0,0.0,0.0,0.0,0.0
2011-02-22,43917.6,148221.9,1026573.9,757578.6,713661.0,1163816.4,1328507.4,307423.2,0.0,0.0,0.0,0.0,0.0
2011-02-23,38512.95,154051.8,1028845.95,753753.45,720742.35,1160890.35,1325945.85,313605.45,0.0,0.0,0.0,0.0,0.0
2011-02-24,55122.0,159853.8,1014244.8,711073.8,766195.8,1157562.0,1328440.2,319707.6,0.0,0.0,0.0,0.0,0.0
2011-02-25,44187.6,165703.5,1010791.35,729095.4,767759.55,1148877.6,1331151.45,325883.55,0.0,0.0,0.0,0.0,0.0
2011-02-26,55372.5,177192.0,603560.25,1135136.25,769677.75,1124061.75,1340014.5,332235.0,0.0,0.0,0.0,0.0,0.0
2011-02-27,99890.1,160934.05,599340.6,1126538.35,765824.1,1126538.35,1337417.45,338516.45,0.0,0.0,0.0,0.0,0.0
2011-02-28,61126.45,216721.05,589036.7,1122503.9,761302.15,1122503.9,1344781.9,338973.95,0.0,0.0,0.0,0.0,0.0
