date,exchangeInflowBtc
2012-04-02,0.02
2012-04-03,0.0
2012-04-04,0.0
2012-04-05,0.0
2012-04-06,0.0
2012-04-07,0.05
2012-04-08,0.02
2012-04-09,0.0
2012-04-10,0.0
2012-04-11,0.0
2012-04-12,0.0
2012-04-13,0.0
2012-04-14,0.0
2012-04-15,0.0
2012-04-16,0.0
2012-04-17,0.0
2012-04-18,0.0
2012-04-19,0.0
2012-04-20,0.0
2012-04-21,0.0
2012-04-22,0.0
2012-04-23,0.0
2012-04-24,0.0
2012-04-25,479.856
2012-04-26,0.0
2012-04-27,0.0
2012-04-28,102.52
2012-04-29,0.0
2012-04-30,0.0
2012-05-01,65.75
2012-05-02,0.0
2012-05-03,102.168
2012-05-04,380.028
2012-05-05,588.174
2012-05-06,0.05
2012-05-07,0.0
2012-05-08,0.0
2012-05-09,0.0
2012-05-10,0.0
2012-05-11,467.691
2012-05-12,0.02
2012-05-13,0.0
2012-05-14,0.005
2012-05-15,0.0
2012-05-16,0.0
2012-05-17,0.0
2012-05-18,348.068
2012-05-19,364.52
2012-05-20,53.56302332
2012-05-21,0.0
2012-05-22,0.0
2012-05-23,0.0
2012-05-24,0.0
2012-05-25,206.50363
2012-05-26,0.0
2012-05-27,242.6
2012-05-28,12.86112108
2012-05-29,4.6
2012-05-30,186.06144426
2012-05-31,0.0
2012-06-01,5.63644431
2012-06-02,0.0
2012-06-03,0.0
2012-06-04,20.85083102
2012-06-05,67.90313853
2012-06-06,0.04
2012-06-07,476.4
2012-06-08,0.0
2012-06-09,0.0
2012-06-10,14.0626
2012-06-11,0.0
2012-06-12,1023.36568645
2012-06-13,49.70171171
2012-06-14,1.0
2012-06-15,83.37533242
2012-06-16,13.8892441
2012-06-17,11.04147985
2012-06-18,29.88992601
2012-06-19,0.0
2012-06-20,28.32247806
2012-06-21,407.42994153
2012-06-22,20.86955899
2012-06-23,19.17552006
2012-06-24,34.71209988
2012-06-25,24.15198908
2012-06-26,22.91698713
2012-06-27,13.18
2012-06-28,37.55762618
2012-06-29,338.54251244
2012-06-30,457.56947529
2012-07-01,467.43959608
2012-07-02,18.84645207
2012-07-03,4.35378457
2012-07-04,3.60390979
2012-07-05,13.05557879
2012-07-06,487.76754874
2012-07-07,43.4553786
2012-07-08,35.94435252
2012-07-09,16.98361261
2012-07-10,46.36030403
2012-07-11,64.93870066
2012-07-12,8.9217909
2012-07-13,24.52190433
2012-07-14,16.0564843
2012-07-15,286.67382713
2012-07-16,86.74383718
2012-07-17,4492.9091203
2012-07-18,16.40916099
2012-07-19,0.02314
2012-07-20,5.27420893
2012-07-21,15.45630831
2012-07-22,3.39794697
2012-07-23,5.84959699
2012-07-24,28.89389327
2012-07-25,5.38084337
2012-07-26,43.16388645
2012-07-27,22.43115178
2012-07-28,0.01052635
2012-07-29,47.99899119
2012-07-30,16.71799926
2012-07-31,19.34005896
2012-08-01,4.28056
2012-08-02,0.0202
2012-08-03,0.02351582
2012-08-04,2.09328184
2012-08-05,5.55237099
2012-08-06,8.24470379
2012-08-07,1.07751892
2012-08-08,6.524507
2012-08-09,41.32592968
2012-08-10,19.53693307
2012-08-11,12.96265794
2012-08-12,4.64804584
2012-08-13,20.17470195
2012-08-14,21.77303702
2012-08-15,12.34830778
2012-08-16,22.44913092
2012-08-17,30.19761614
2012-08-18,34.293842
2012-08-19,20.3216013
2012-08-20,8.37167516
2012-08-21,6.36774961
2012-08-22,5.48165702
2012-08-23,6.28191774
2012-08-24,15.79719028
2012-08-25,4.98251907
2012-08-26,28.41182056
2012-08-27,25.2404514
2012-08-28,14.88279841
2012-08-29,20.89603521
2012-08-30,5.59055165
2012-08-31,6.2058924
2012-09-01,8.50178313
2012-09-02,9.15220033
2012-09-03,11.165554
2012-09-04,49.21219617
2012-09-05,1.63484733
2012-09-06,17.45357732
2012-09-07,17.82326173
2012-09-08,1.47383208
2012-09-09,0.07271334
2012-09-10,2.08681165
2012-09-11,8.03532271
2012-09-12,5.61424564
2012-09-13,0.33017017
2012-09-14,12.42806496
2012-09-15,2.75176946
2012-09-16,4.51669272
2012-09-17,19.65410457
2012-09-18,40.4269933
2012-09-19,81.12849136
2012-09-20,0.53957717
2012-09-21,19.56620068
2012-09-22,84.47883698
2012-09-23,54.59720248
2012-09-24,91.05820607
2012-09-25,89.71448585
2012-09-26,38.86383577
2012-09-27,43.88252389
2012-09-28,16.13609144
2012-09-29,18.76398628
2012-09-30,18.70563834
2012-10-01,1.20137214
2012-10-02,71.92671288
2012-10-03,36.1375752
2012-10-04,19.7095605
2012-10-05,104.17836858
2012-10-06,106.248708
2012-10-07,33.26342407
2012-10-08,21.1768091
2012-10-09,33.88594153
2012-10-10,16.76007599
2012-10-11,17.84518151
2012-10-12,33.85100647
2012-10-13,16.02350173
2012-10-14,23.13247904
2012-10-15,35.92783547
2012-10-16,43.45202944
2012-10-17,32.88586432
2012-10-18,31.63739136
2012-10-19,1.15487578
2012-10-20,32.48752044
2012-10-21,1.21110004
2012-10-22,16.98301672
2012-10-23,1.26062956
2012-10-24,49.3236306
2012-10-25,48.53390402
2012-10-26,46.23916844
2012-10-27,16.96071333
2012-10-28,17.42918458
2012-10-29,1.04217879
2012-10-30,3.02702
2012-10-31,32.19625792
2012-11-01,5.37483411
2012-11-02,33.17191068
2012-11-03,51.44313937
2012-11-04,3.17845531
2012-11-05,0.01810518
2012-11-06,17.35028966
2012-11-07,22.85700833
2012-11-08,1.09961957
2012-11-09,0.59277558
2012-11-10,2.15674904
2012-11-11,17.07397594
2012-11-12,0.01357572
2012-11-13,0.65425855
2012-11-14,0.5931813
2012-11-15,1.75171119
2012-11-16,3.68406179
2012-11-17,15.37362194
2012-11-18,30.96934643
2012-11-19,1.07444487
2012-11-20,0.19489333
2012-11-21,1.51256777
2012-11-22,17.52078681
2012-11-23,17.33253488
2012-11-24,0.33980494
2012-11-25,4.73219586
2012-11-26,40.16341268
2012-11-27,22.30056043
2012-11-28,128.97260695
2012-11-29,98.85456107
2012-11-30,30.81267556
2012-12-01,7.32249621
2012-12-02,10.13178784
2012-12-03,16.54577032
2012-12-04,4.01697158
2012-12-05,29.49015127
2012-12-06,58.47099877
2012-12-07,6.81763053
2012-12-08,10.43440637
2012-12-09,39.30252959
2012-12-10,17.01070571
2012-12-11,40.05353693
2012-12-12,62.04105012
2012-12-13,8.42252504
2012-12-14,65.60067435
2012-12-15,68.33847405
2012-12-16,31.80775949
2012-12-17,19.7097704
2012-12-18,15.49070075
2012-12-19,3.59983498
2012-12-20,7.46386196
2012-12-21,11.96637302
2012-12-22,2.25012498
2012-12-23,7.88829925
2012-12-24,1.07856496
2012-12-25,1053.30828719
2012-12-26,8.48119593
2012-12-27,11.34563402
2012-12-28,12.47555535
2012-12-29,78.89886464
2012-12-30,8.19839141
2012-12-31,12.63771006
2013-01-01,11.01943869
2013-01-02,7.77721209
2013-01-03,18.60172473
2013-01-04,11.11965165
2013-01-05,1.02567873
2013-01-06,8.51512972
2013-01-07,10.40998891
2013-01-08,0.21826419
2013-01-09,14.54431626
2013-01-10,3.8504341
2013-01-11,2.67364719
2013-01-12,0.79957588
2013-01-13,1.0706799
2013-01-14,3.79481587
2013-01-15,1.56793103
2013-01-16,1.1547707
2013-01-17,4.98567937
2013-01-18,6.95876516
2013-01-19,5.99591269
2013-01-20,1.40733948
2013-01-21,6.20906261
2013-01-22,4.86174067
2013-01-23,29.39265182
2013-01-24,1.49302558
2013-01-25,3.55423785
2013-01-26,2.06214485
2013-01-27,1.59596956
2013-01-28,5.80675488
2013-01-29,6.06292022
2013-01-30,3.51411939
2013-01-31,0.52525902
2013-02-01,4.28850227
2013-02-02,8.06095575
2013-02-03,3.64594001
2013-02-04,10.64419569
2013-02-05,8.89185157
2013-02-06,208.25023098
2013-02-07,4.01586251
2013-02-08,66.22586466
2013-02-09,0.71108791
2013-02-10,29.85072055
2013-02-11,101.28974373
2013-02-12,12.3749942
2013-02-13,1.26996822
2013-02-14,144.03656584
2013-02-15,2.98061374
2013-02-16,12.45755065
2013-02-17,4.90911819
2013-02-18,4.67195977
2013-02-19,2.3621254
2013-02-20,5.94003898
2013-02-21,12.40967
2013-02-22,0.50228728
2013-02-23,14.74833093
2013-02-24,0.83183395
2013-02-25,56873.66719953
2013-02-26,13.21319296
2013-02-27,17.12664298
2013-02-28,11.22229075
2013-03-01,103.40185621
2013-03-02,4.62940084
2013-03-03,7.61920723
2013-03-04,200.4495855
2013-03-05,112.51034224
2013-03-06,66.93497463
2013-03-07,8.86534109
2013-03-08,127.85666315
2013-03-09,168.70039319
2013-03-10,80.87539937
2013-03-11,14.51051204
2013-03-12,48.00042077
2013-03-13,21.27394576
2013-03-14,20.69829431
2013-03-15,21.56271267
2013-03-16,7.81685907
2013-03-17,35.62915123
2013-03-18,3.52308472
2013-03-19,30.73897247
2013-03-20,57.33228213
2013-03-21,22.88734598
2013-03-22,65.33698926
2013-03-23,7.33978216
2013-03-24,15.10166937
2013-03-25,21.10672484
2013-03-26,15.28570901
2013-03-27,56.31184169
2013-03-28,64.81084782
2013-03-29,42.67131507
2013-03-30,30.97492394
2013-03-31,5.36715922
2013-04-01,89.78835725
2013-04-02,32.58405871
2013-04-03,143.67485684
2013-04-04,59.33908812
2013-04-05,35.61519354
2013-04-06,48.82931082
2013-04-07,68.74929733
2013-04-08,138.78960108
2013-04-09,124.38526078
2013-04-10,107.8426059
2013-04-11,137.73176275
2013-04-12,112.91100666
2013-04-13,17.81829535
2013-04-14,11.79204724
2013-04-15,69.83841035
