date,open,high,low,close,volume
2015-04-25,231.24,232.56,226.34,226.39,13.96
2015-04-26,226.41,226.94,214.87,219.43,28.94
2015-04-27,219.43,233.3,218.02,229.29,38.57
2015-04-28,228.97,229.49,223.07,225.85,21.47
2015-04-29,225.59,227.04,223.43,225.81,18.94
2015-04-30,225.69,239.56,224.99,236.15,33.82
2015-05-01,235.94,238.97,232.08,232.08,18.82
2015-05-02,232.34,235.73,232.34,234.93,12.54
2015-05-03,234.88,243.24,234.08,240.36,18.49
2015-05-04,240.36,242.64,237.81,239.02,21.22
2015-05-05,238.85,239.2,232.05,236.12,23.93
2015-05-06,236.25,236.45,229.23,229.78,29.59
2015-05-07,229.66,239.1,228.57,237.33,29.06
2015-05-08,237.2,246.27,236.27,243.86,27.45
2015-05-09,243.77,247.8,239.64,241.83,19.79
2015-05-10,241.73,244.07,238.85,240.3,15.02
2015-05-11,240.3,244.27,239.38,242.16,20.89
2015-05-12,242.15,242.88,240.1,241.11,19.28
2015-05-13,241.4,243.7,235.04,236.38,27.18
2015-05-14,236.21,237.8,234.06,236.93,24.41
2015-05-15,236.96,238.75,236.79,237.6,16.33
2015-05-16,237.64,237.7,235.29,236.15,11.09
2015-05-17,236.01,238.02,236.01,236.8,11.13
2015-05-18,236.89,237.21,232.46,233.13,16.78
2015-05-19,233.04,234.15,231.82,231.95,14.24
2015-05-20,231.89,234.68,231.84,234.02,15.5
2015-05-21,234.02,236.24,233.84,235.34,15.11
2015-05-22,235.32,240.97,235.06,240.35,27.0
2015-05-23,240.29,241.02,238.69,238.87,14.61
2015-05-24,238.98,241.98,238.81,240.95,11.51
2015-05-25,240.93,241.02,236.64,237.11,14.42
2015-05-26,237.1,238.24,235.69,237.12,16.43
2015-05-27,237.07,238.64,236.7,237.28,18.84
2015-05-28,237.26,237.82,236.65,237.41,13.83
2015-05-29,237.38,237.52,235.73,237.1,14.81
2015-05-30,237.09,237.09,232.05,233.35,14.1
2015-05-31,233.13,233.25,229.54,230.19,14.73
2015-06-01,230.23,231.71,221.3,222.93,26.09
2015-06-02,222.89,226.42,222.42,225.8,20.46
2015-06-03,225.74,227.4,223.93,225.87,17.75
2015-06-04,225.77,226.58,224.05,224.32,14.73
2015-06-05,224.15,225.97,223.18,224.95,18.06
2015-06-06,225.01,225.72,224.38,225.62,11.13
2015-06-07,225.6,226.19,222.65,222.88,13.32
2015-06-08,222.88,229.46,222.84,228.49,23.38
2015-06-09,228.54,230.95,227.93,229.05,28.35
2015-06-10,228.99,229.78,228.01,228.8,15.9
2015-06-11,228.85,230.29,228.77,229.71,14.42
2015-06-12,229.71,231.06,229.31,229.98,14.02
2015-06-13,229.92,232.65,229.21,232.4,13.31
2015-06-14,232.44,234.86,232.0,233.54,12.17
2015-06-15,233.42,237.84,233.42,236.82,19.91
2015-06-16,236.76,251.74,236.12,250.9,41.61
2015-06-17,250.82,256.85,246.48,249.28,43.86
2015-06-18,249.43,252.11,244.13,249.01,30.98
2015-06-19,249.04,250.98,243.79,244.61,23.97
2015-06-20,244.53,245.83,240.63,245.21,20.61
2015-06-21,245.1,245.22,241.88,243.94,10.6
2015-06-22,243.97,247.92,243.78,246.99,17.69
2015-06-23,246.93,247.3,243.13,244.3,15.11
2015-06-24,244.28,244.34,240.51,240.51,17.34
2015-06-25,240.37,243.33,240.37,242.8,16.13
2015-06-26,242.6,243.75,241.55,243.59,13.98
2015-06-27,243.55,251.34,243.12,250.99,20.49
2015-06-28,250.96,251.17,247.43,249.01,15.14
2015-06-29,248.72,257.17,248.58,257.06,34.74
2015-06-30,257.04,267.87,255.95,263.07,44.53
2015-07-01,263.35,265.17,255.77,258.62,27.03
2015-07-02,258.55,261.63,254.12,255.41,21.55
2015-07-03,255.46,257.08,253.51,256.34,19.03
2015-07-04,256.49,261.46,254.2,260.89,15.62
2015-07-05,260.8,274.51,258.7,271.91,44.16
2015-07-06,271.11,277.42,267.6,269.03,49.15
2015-07-07,269.96,271.34,264.83,266.21,28.86
2015-07-08,265.98,272.97,264.39,270.79,36.98
2015-07-09,270.83,272.33,267.09,269.23,40.3
2015-07-10,269.16,294.59,268.8,284.89,100.39
2015-07-11,284.88,298.51,283.53,293.11,41.11
2015-07-12,293.14,314.39,292.51,310.87,56.41
2015-07-13,310.83,310.95,281.01,292.05,62.05
2015-07-14,292.03,296.15,286.64,287.46,28.73
2015-07-15,288.05,293.25,285.37,285.83,27.49
2015-07-16,286.04,291.18,275.24,278.09,49.48
2015-07-17,278.09,280.28,272.04,279.47,27.59
2015-07-18,279.33,282.53,274.08,274.9,25.19
2015-07-19,274.77,275.67,272.51,273.61,15.33
2015-07-20,273.5,278.98,272.96,278.98,22.71
2015-07-21,278.88,280.55,275.42,275.83,22.93
2015-07-22,275.66,277.67,274.38,277.22,19.39
2015-07-23,277.34,278.11,275.72,276.05,18.53
2015-07-24,276.01,289.25,275.25,288.28,37.2
2015-07-25,288.16,290.73,286.0,288.7,20.66
2015-07-26,288.64,293.05,287.71,292.69,16.03
2015-07-27,292.64,297.77,287.45,293.62,30.59
2015-07-28,293.63,296.65,293.42,294.43,25.45
2015-07-29,294.48,294.54,288.78,289.59,24.67
2015-07-30,289.1,290.13,286.57,287.72,21.64
2015-07-31,287.7,288.96,282.34,284.65,23.63
2015-08-01,284.69,284.93,278.11,281.6,19.0
2015-08-02,280.45,283.03,277.53,282.61,17.72
2015-08-03,282.81,285.47,280.23,281.23,21.47
2015-08-04,281.23,285.71,281.23,285.22,21.91
2015-08-05,284.85,285.5,281.49,281.88,20.13
2015-08-06,281.91,281.91,278.4,278.58,18.79
2015-08-07,278.74,280.39,276.37,279.58,42.48
2015-08-08,279.74,279.93,260.71,261.0,58.53
2015-08-09,261.12,267.0,260.47,265.08,23.79
2015-08-10,265.48,267.03,262.6,264.47,20.98
2015-08-11,264.34,270.39,264.09,270.39,25.43
2015-08-12,270.6,270.67,265.47,266.38,26.82
2015-08-13,266.18,266.23,262.84,264.08,27.69
2015-08-14,264.13,267.47,261.48,265.68,27.09
2015-08-15,265.53,266.67,261.3,261.55,19.32
2015-08-16,261.87,262.44,257.04,258.51,29.72
2015-08-17,258.49,260.51,257.12,257.98,21.62
2015-08-18,257.93,257.99,211.08,211.08,42.15
2015-08-19,225.67,237.41,222.77,226.68,60.87
2015-08-20,226.9,237.37,226.9,235.35,32.28
2015-08-21,235.35,236.43,231.72,232.57,23.17
2015-08-22,232.66,234.96,222.7,230.39,23.21
2015-08-23,230.38,232.71,225.58,228.17,18.41
2015-08-24,228.11,228.14,210.44,210.49,59.22
2015-08-25,210.07,226.32,199.57,221.61,61.09
2015-08-26,222.08,231.18,220.2,225.83,31.81
2015-08-27,226.05,228.64,223.68,224.77,21.91
2015-08-28,224.7,235.22,220.93,231.4,31.34
2015-08-29,231.55,233.22,227.33,229.78,17.14
2015-08-30,229.9,232.07,226.25,228.76,19.41
2015-08-31,229.11,231.96,225.91,230.06,20.71
2015-09-01,230.26,231.22,226.86,228.12,20.58
2015-09-02,228.03,230.58,226.48,229.28,18.76
2015-09-03,229.32,229.6,226.67,227.18,17.48
2015-09-04,227.21,230.9,227.05,230.3,20.96
2015-09-05,230.2,236.14,229.44,235.02,20.67
2015-09-06,234.87,242.91,234.68,239.84,25.47
2015-09-07,239.93,242.11,238.72,239.85,21.19
2015-09-08,239.85,245.78,239.68,243.61,26.88
2015-09-09,243.41,244.42,237.82,238.17,23.64
2015-09-10,238.34,241.29,235.79,238.48,21.22
2015-09-11,238.33,241.17,238.33,240.11,19.22
2015-09-12,239.85,240.12,234.75,235.23,17.96
2015-09-13,235.24,235.93,229.33,230.51,18.48
2015-09-14,230.61,232.44,227.96,230.64,21.0
2015-09-15,230.49,259.18,229.82,230.3,19.18
2015-09-16,230.25,231.21,227.4,229.09,20.14
2015-09-17,229.08,230.29,228.93,229.81,18.94
2015-09-18,233.52,234.35,232.18,232.98,20.24
2015-09-19,232.86,233.21,231.09,231.49,12.71
2015-09-20,231.4,232.37,230.91,231.21,14.44
2015-09-21,231.22,231.22,226.52,227.09,19.68
2015-09-22,226.97,232.39,225.12,230.62,25.01
2015-09-23,230.94,231.84,229.59,230.28,17.25
2015-09-24,230.36,235.65,230.29,234.53,25.1
2015-09-25,234.36,237.43,233.68,235.14,22.36
2015-09-26,235.08,235.4,233.36,234.34,13.72
2015-09-27,234.14,234.53,232.48,232.76,14.18
2015-09-28,232.84,239.34,232.47,239.14,24.71
2015-09-29,239.02,239.8,235.93,236.69,22.69
2015-09-30,236.64,237.73,235.63,236.06,19.74
2015-10-01,236.0,238.45,235.62,237.55,20.49
2015-10-02,237.26,238.54,236.6,237.29,19.68
2015-10-03,237.2,239.32,236.94,238.73,16.48
2015-10-04,238.53,238.97,237.94,238.26,13.0
2015-10-05,238.15,240.38,237.04,240.38,23.34
2015-10-06,240.36,246.93,240.14,246.06,27.54
2015-10-07,246.17,246.68,242.59,242.97,23.0
2015-10-08,243.07,244.25,242.18,242.3,18.52
2015-10-09,242.5,244.23,242.12,243.93,17.35
2015-10-10,243.74,245.32,243.07,244.94,15.91
2015-10-11,244.74,247.24,244.15,247.05,16.83
2015-10-12,246.88,247.45,245.18,245.31,17.39
2015-10-13,245.2,250.24,243.76,249.51,28.2
2015-10-14,249.49,254.27,248.9,251.99,27.46
2015-10-15,252.11,255.96,252.05,254.32,25.22
2015-10-16,254.3,266.14,253.93,262.87,35.9
2015-10-17,262.75,273.58,262.37,270.64,43.2
2015-10-18,270.91,271.67,260.78,261.64,22.43
2015-10-19,261.86,264.82,260.95,263.44,25.26
2015-10-20,263.57,270.83,263.23,269.46,30.89
2015-10-21,269.31,270.77,263.84,266.27,25.64
2015-10-22,266.5,276.51,266.14,274.02,37.81
2015-10-23,273.65,278.68,273.54,276.5,29.44
2015-10-24,276.5,281.71,276.5,281.65,25.94
2015-10-25,281.45,294.06,281.45,283.68,45.72
2015-10-26,283.63,285.3,280.51,285.3,32.11
2015-10-27,285.18,296.21,285.01,293.79,46.33
2015-10-28,293.7,306.33,293.7,304.62,50.81
2015-10-29,304.32,318.17,301.82,313.86,64.5
2015-10-30,313.94,334.17,313.94,328.02,78.31
2015-10-31,328.51,332.78,309.25,314.17,48.6
2015-11-01,315.01,327.47,311.88,325.43,37.0
2015-11-02,325.94,365.36,323.21,361.19,101.92
2015-11-03,361.87,417.9,357.65,403.42,206.16
2015-11-04,403.66,495.56,380.55,411.56,263.9
2015-11-05,408.08,447.56,374.58,386.35,151.82
2015-11-06,388.05,395.84,354.02,374.47,122.69
2015-11-07,374.27,390.59,372.43,386.48,56.63
2015-11-08,384.28,389.89,368.7,373.37,51.82
2015-11-09,374.32,385.28,362.89,380.26,68.22
2015-11-10,379.98,381.39,329.11,336.82,95.8
2015-11-11,339.82,340.58,301.0,311.08,107.07
2015-11-12,314.08,345.08,313.36,338.15,78.48
2015-11-13,338.5,340.91,326.08,336.75,52.0
2015-11-14,336.62,338.18,329.97,332.91,38.61
2015-11-15,333.05,334.66,317.49,320.17,44.21
2015-11-16,319.73,331.63,315.9,330.75,47.98
2015-11-17,330.36,338.35,329.61,335.09,51.0
2015-11-18,334.59,336.53,330.64,334.59,43.78
2015-11-19,334.68,335.33,325.27,326.15,45.01
2015-11-20,326.41,326.47,312.22,322.02,53.15
2015-11-21,322.09,328.16,319.6,326.93,28.2
2015-11-22,326.98,327.01,321.26,324.54,23.44
2015-11-23,324.35,325.12,321.29,323.05,27.48
2015-11-24,323.01,323.06,318.12,320.05,29.36
2015-11-25,320.05,329.13,316.77,328.21,41.67
2015-11-26,328.3,366.76,328.23,352.68,106.11
2015-11-27,351.86,363.59,347.87,358.04,55.18
2015-11-28,357.14,359.54,352.17,357.38,36.82
2015-11-29,357.47,371.94,355.67,371.29,40.41
2015-11-30,371.44,382.36,370.38,377.32,71.7
2015-12-01,377.41,378.93,356.56,362.49,60.45
2015-12-02,361.85,362.23,349.46,359.19,54.16
2015-12-03,359.33,370.27,357.41,361.05,50.71
2015-12-04,361.26,363.52,355.76,363.18,35.78
2015-12-05,363.72,389.79,363.23,388.95,66.28
2015-12-06,389.55,402.81,387.09,388.78,77.76
2015-12-07,389.98,399.97,385.41,395.54,63.46
2015-12-08,395.75,415.56,389.95,415.56,57.8
2015-12-09,414.44,423.12,406.29,417.56,90.92
2015-12-10,417.99,419.51,411.55,415.48,52.14
2015-12-11,415.28,451.94,415.28,451.94,110.94
2015-12-12,452.33,469.1,410.74,435.0,131.97
2015-12-13,431.66,441.68,426.27,433.76,55.05
2015-12-14,433.27,447.14,430.46,444.18,130.5
2015-12-15,443.88,465.32,443.88,465.32,83.12
2015-12-16,465.21,465.21,443.85,454.93,107.94
2015-12-17,454.78,457.86,448.86,456.08,47.98
2015-12-18,455.85,465.18,454.94,463.62,60.22
2015-12-19,463.55,465.58,456.77,462.32,47.89
2015-12-20,462.23,462.64,434.34,442.68,75.41
2015-12-21,442.84,444.73,427.31,438.64,77.64
2015-12-22,437.44,443.69,435.52,436.57,50.84
2015-12-23,436.72,444.53,436.62,442.4,47.16
2015-12-24,443.09,458.46,443.08,454.98,57.16
2015-12-25,454.86,458.3,452.08,455.65,39.08
2015-12-26,455.76,457.49,405.76,417.27,116.17
2015-12-27,416.51,424.01,408.88,422.82,53.59
2015-12-28,423.34,429.77,418.48,422.28,49.64
2015-12-29,422.1,432.98,420.63,432.98,51.6
2015-12-30,433.3,434.39,422.08,426.62,46.89
2015-12-31,425.88,432.92,418.73,430.57,46.0
2016-01-01,430.72,436.25,427.52,434.33,36.28
2016-01-02,434.62,436.06,431.87,433.44,30.1
2016-01-03,433.58,433.74,424.71,430.01,39.63
2016-01-04,430.06,434.52,429.08,433.09,38.48
2016-01-05,433.07,434.18,429.68,431.96,34.52
2016-01-06,431.86,431.86,426.34,429.11,34.04
2016-01-07,430.01,458.77,429.08,458.05,87.56
