date,asopr
2023-01-01,0.98287247
2023-01-02,0.9930622
2023-01-03,0.97101547
2023-01-04,0.9679066
2023-01-05,0.97862337
2023-01-06,0.96577578
2023-01-07,0.98043484
2023-01-08,0.98909177
2023-01-09,0.99684623
2023-01-10,0.96863135
2023-01-11,0.94572403
2023-01-12,1.01774263
2023-01-13,1.01997955
2023-01-14,1.03558449
2023-01-15,1.00979393
2023-01-16,1.02494306
2023-01-17,1.02674478
2023-01-18,1.00076029
2023-01-19,0.98485805
2023-01-20,1.01876552
2023-01-21,1.03689667
2023-01-22,1.02899856
2023-01-23,1.01194864
2023-01-24,1.01741876
2023-01-25,1.01197739
2023-01-26,0.98244114
2023-01-27,0.97393657
2023-01-28,1.01283895
2023-01-29,1.019197
2023-01-30,1.00782341
2023-01-31,1.01091926
2023-02-01,1.03777856
2023-02-02,1.01983119
2023-02-03,1.0104866
2023-02-04,1.0244412
2023-02-05,1.00085847
2023-02-06,1.00541162
2023-02-07,1.00454665
2023-02-08,1.0101426
2023-02-09,0.99863606
2023-02-10,0.98222402
2023-02-11,0.99507936
2023-02-12,0.99493369
2023-02-13,0.99023748
2023-02-14,0.99921679
2023-02-15,1.01913545
2023-02-16,1.04183742
2023-02-17,1.0109189
2023-02-18,1.01516027
2023-02-19,1.01492607
2023-02-20,1.01394473
2023-02-21,1.00891837
2023-02-22,0.98557882
2023-02-23,1.01468347
2023-02-24,0.99547379
2023-02-25,0.98540734
2023-02-26,1.00480567
2023-02-27,1.00894049
2023-02-28,0.96273065
2023-03-01,0.97958841
2023-03-02,0.99280717
2023-03-03,0.98359139
2023-03-04,0.99196729
2023-03-05,0.95269289
2023-03-06,0.98722476
2023-03-07,0.8692027
2023-03-08,0.98706993
2023-03-09,0.97361598
2023-03-10,0.95787328
2023-03-11,0.98674879
2023-03-12,0.99314822
2023-03-13,1.04133151
2023-03-14,1.05076888
2023-03-15,1.02409745
2023-03-16,1.01998864
2023-03-17,1.07123617
2023-03-18,1.03062957
2023-03-19,1.02598131
2023-03-20,1.03418165
2023-03-21,1.03433416
2023-03-22,1.02668259
2023-03-23,1.0484247
2023-03-24,1.01858929
2023-03-25,1.00405983
2023-03-26,1.02185635
2023-03-27,1.0452916
2023-03-28,1.00767873
2023-03-29,1.02719644
2023-03-30,0.76648317
2023-03-31,1.02821004
2023-04-01,1.02530001
2023-04-02,1.00935528
2023-04-03,1.01074291
2023-04-04,1.00989326
2023-04-05,1.02782493
2023-04-06,1.00156452
2023-04-07,0.99059781
2023-04-08,1.00731094
2023-04-09,1.00607647
2023-04-10,1.01774067
2023-04-11,1.05957503
2023-04-12,1.00957027
2023-04-13,1.0282863
2023-04-14,1.03085968
2023-04-15,1.009294
2023-04-16,1.01083247
2023-04-17,1.00114007
2023-04-18,1.02475605
2023-04-19,1.02455242
2023-04-20,0.99732543
2023-04-21,1.00476687
2023-04-22,0.99488066
2023-04-23,1.01592269
2023-04-24,0.99569004
2023-04-25,0.99775566
2023-04-26,1.02584912
2023-04-27,1.01282335
2023-04-28,1.01985687
2023-04-29,1.02455911
2023-04-30,1.00482863
2023-05-01,0.99329694
2023-05-02,1.00717949
2023-05-03,1.04501061
2023-05-04,1.00650507
2023-05-05,1.01067063
2023-05-06,1.00303567
2023-05-07,1.181348
2023-05-08,1.01118023
2023-05-09,0.98940699
2023-05-10,1.0003593
2023-05-11,0.99051365
2023-05-12,0.99598187
2023-05-13,0.9994194
2023-05-14,1.00567395
2023-05-15,1.04860187
2023-05-16,1.01339341
2023-05-17,1.0010634
2023-05-18,0.99656308
2023-05-19,0.9915743
2023-05-20,1.00317095
2023-05-21,1.00227751
2023-05-22,1.04449925
2023-05-23,1.00720338
2023-05-24,0.99296954
2023-05-25,1.01999977
2023-05-26,1.00157801
2023-05-27,0.99981246
2023-05-28,1.01575416
2023-05-29,1.01381661
2023-05-30,1.01410756
2023-05-31,0.99976113
2023-06-01,1.00477544
2023-06-02,1.00427629
2023-06-03,0.9993663
2023-06-04,1.0003052
