date,price_open,price_high,price_low,price_close,price_volume,adjusted_sopr,avg_dormancy,avg_spent_output_lifespan,coin_days_destroyed,supply_adjusted_cdd,exchange_netflow,exchange_inflow,exchange_outflow,mvrv_ratio,mvrv_zscore,nupl,nvt_ratio,active_addresses,puell_multiple,reserve_risk,utxos_profit_pct,utxos_loss_pct,supply_in_profit,supply_in_loss,net_realized_pl,realized_loss_usd,rpv_ratio,liveliness,difficulty,hash_ribbons,hash_ribbons.1,hash_ribbons.2,hodl_age_0d_1d,hodl_age_1d_1w,hodl_age_1w_1m,hodl_age_1m_3m,hodl_age_3m_6m,hodl_age_6m_1y,hodl_age_1y_2y,hodl_age_2y_3y,hodl_age_3y_4y,hodl_age_4y_5y,hodl_age_5y_7y,hodl_age_7y_10y,hodl_age_10y,drawdown_from_ath,pct_supply_in_profit
2021-04-17,61334.81,62506.05,59580.91,60006.66,58912.26,0.0,8.5673,23.24,9731808.67,0.52083815,-4067.74674787,37668.73366567,41736.48041354,3.3064,4.8418347439113125,0.6875,1.203744,839769.0,2.051,0.003652319,0.0,0.0,18223414.189353,461517.82064700127,25720.9046816,171827877.35,0.0,0.61158086,23581981443664.0,163443885.68,159086495.22,Up,186849.3201,560547.9603,1251890.44467,2391671.29728,2522465.82135,1457424.69678,1905863.06502,1831123.33698,1924547.99703,541863.02829,728712.34839,1326630.17271,2036657.58909,0.0,0.9753
2021-04-18,60006.67,60499.0,50931.3,56150.01,124882.13,0.0,19.8443,27.32,32774979.89,1.75401403,-7963.18300007,106885.17524819,114848.35824826,3.0555,4.342574293822686,0.6621,0.851244,1046281.0,1.584,0.0033543208,0.0,0.0,17035759.081017002,1649947.9289829992,34918.4712283,1100697830.25,0.0,0.61197122,23581981443664.0,163007210.15,159058507.56,Up,317657.01917,541885.50329,1233256.66266,2373084.79027,2541256.15336,1364056.61173,1905942.11502,1849884.99399,1924627.82203,541885.50329,728742.57339,1326685.19771,2036742.06409,-0.0642703659893751,0.9117
2021-04-19,56150.01,57526.81,54221.58,55633.14,78229.04,0.0,4.137,21.0,5218849.83,0.27928749,-7422.14911912,65924.77126589,73346.92038501,3.0221,4.252614400325141,0.6582,1.095734,886617.0,2.107,0.0033702814,0.0,0.0,16628950.170074,2057363.0899260007,31758.4454795,472786785.24,0.0,0.61185758,23581981443664.0,161217899.38,158520758.39,Up,224235.75912,616648.33758,1251982.98842,2354475.47076,2541338.60336,1382787.18124,1906003.95252,1831258.69948,1924690.26578,560589.3978,728766.21714,1326728.24146,2036808.14534,-0.0728839098860026,0.8899
2021-04-20,55633.14,57076.24,53329.96,56425.0,72744.48,0.0,7.7093,20.76,14329722.85,0.76682433,-1091.06359344,96206.00981065,97297.07340409,3.0497,4.3071268758393355,0.6616,0.7722,1123407.0,1.586,0.0033902623,0.0,0.0,17167850.951962,1519262.308038,30613.6651012,717924192.62,0.0,0.6119105,23581981443664.0,160567467.98,158300703.64,Up,280306.6989,597987.62432,1214662.3619,2335889.1575,2541447.40336,1401533.4945,1850024.21274,1868711.326,1924772.66578,541926.28454,728797.41714,1326785.04146,2036895.34534,-0.0596877079977455,0.9187
2021-04-21,56425.0,56757.91,53536.02,53787.63,66984.76,0.0,4.1167,18.04,7887237.24,0.422055,-2867.56521349,79919.6200521,82787.18526559,2.9164,4.008150330268838,0.6462,0.71489,923291.0,2.147,0.0032565779,0.0,0.0,16379808.063015005,2307936.446984999,28283.4186899,470646169.27,0.0,0.61184568,23581981443664.0,159043153.72,157646231.84,Up,205565.18961,616695.56883,1270766.62668,2317280.31924,2560220.99787,1401580.83825,1850086.70649,1850086.70649,1943525.42904,541944.59079,728822.03589,1326829.86021,2036964.15159,-0.1036389960714361,0.8765
2021-04-22,53787.62,55521.48,50500.0,51690.96,104656.63,0.0,5.9389,23.22,12929595.42,0.69184398,12849.5685581,115895.76144549,103046.19288739,2.7934,3.744522595771096,0.6309,0.627469,1120306.0,1.983,0.0030703965,0.0,0.0,16218000.282028005,2470637.977971999,29149.6104243,796678274.56,0.0,0.61187299,23581981443664.0,158797698.49,157902339.42,Up,280329.5739,541970.50954,1214761.4869,2410834.33554,2541654.80336,1401647.8695,1850175.18774,1850175.18774,1924929.74078,560659.1478,728856.89214,1326893.31646,2037061.57034,-0.1385796176624395,0.8678
2021-04-23,51690.95,52131.85,47500.0,51125.14,132230.78,0.0,8.0332,29.03,17474596.97,0.93499542,14241.12177246,133085.67029543,118844.54852297,2.7412,3.6242150680558143,0.6239,0.671894,1117128.0,2.093,0.0029687107,0.0,0.0,16091644.01061,2597837.9993900005,28784.1023253,1524972513.38,0.0,0.61198323,23581981443664.0,158565721.64,158146133.13,Up,280342.23015,560684.4603,1196126.84864,2392253.69728,2541769.55336,1401711.15075,1850258.71899,1850258.71899,1943706.12904,541994.97829,728889.79839,1326953.22271,2037153.53909,-0.148008904344951,0.8610000000000001
2021-04-24,51110.56,51166.22,48657.14,50047.84,55361.51,0.0,13.7758,30.15,21998685.58,1.17700454,-362.07709918,40909.07053713,41271.14763631,2.6995,3.5314701078607977,0.6182,0.896894,1123937.0,1.974,0.0029956814,0.0,0.0,15926079.597758,2764308.3822419997,27490.7472896,421679900.58,0.0,0.61217595,23581981443664.0,158652037.51,158693295.87,Down,168213.49182,672853.96728,1196184.83072,2429750.4374,2541892.76528,1401779.0985,1869038.798,1850348.41002,1925109.96194,560711.6394,728925.13122,1327017.54658,2037252.28982,-0.1659619115611501,0.8521
2021-04-25,50047.84,50567.91,46930.0,49066.77,58255.65,0.0,8.4403,36.36,13766666.84,0.73652806,-3224.6592058,35135.22642372,38359.88562952,2.6279,3.3697072361316205,0.6078,0.871186,1027850.0,1.753,0.0028078485,0.0,0.0,15794122.49935,2897146.7306500003,25522.3316762,677632241.26,0.0,0.61221835,23581981443664.0,159234216.87,158586354.11,Up,168221.42307,672885.69228,1196241.23072,2429864.9999,2542012.61528,1401845.19225,1869126.923,1850435.65377,1906509.46146,560738.0769,728959.49997,1327080.11533,2037348.34607,-0.1823112634497572,0.845
2021-04-26,49066.76,54356.62,48753.44,54001.39,86310.8,0.0,6.0394,25.16,12947507.78,0.69267643,8966.70677511,78795.59453294,69828.88775783,2.8863,3.912174903701288,0.6428,0.684187,944641.0,2.218,0.0031244322,0.0,0.0,16536796.148061,2155185.481938999,24004.1236945,342236862.11,0.0,0.61224577,23581981443664.0,157928033.4,158005888.01,Down,242995.76119,504683.50401,1252362.76921,2467341.57516,2542109.50168,1401898.62225,1869198.163,1850506.18137,1906582.12626,560759.4489,728987.28357,1327130.69573,2037425.99767,-0.1000767248168786,0.8847
