date,exchangeNetflowBtc
2012-04-02,0.02
2012-04-03,0.0
2012-04-04,0.0
2012-04-05,0.0
2012-04-06,0.0
2012-04-07,0.05
2012-04-08,0.02
2012-04-09,0.0
2012-04-10,0.0
2012-04-11,0.0
2012-04-12,0.0
2012-04-13,0.0
2012-04-14,0.0
2012-04-15,0.0
2012-04-16,0.0
2012-04-17,0.0
2012-04-18,0.0
2012-04-19,0.0
2012-04-20,0.0
2012-04-21,0.0
2012-04-22,0.0
2012-04-23,0.0
2012-04-24,0.0
2012-04-25,479.856
2012-04-26,0.0
2012-04-27,0.0
2012-04-28,102.52
2012-04-29,0.0
2012-04-30,0.0
2012-05-01,65.75
2012-05-02,0.0
2012-05-03,102.168
2012-05-04,380.028
2012-05-05,588.174
2012-05-06,0.05
2012-05-07,0.0
2012-05-08,0.0
2012-05-09,0.0
2012-05-10,0.0
2012-05-11,467.691
2012-05-12,0.02
2012-05-13,0.0
2012-05-14,0.005
2012-05-15,0.0
2012-05-16,0.0
2012-05-17,0.0
2012-05-18,348.068
2012-05-19,354.52
2012-05-20,-76.88697668
2012-05-21,0.0
2012-05-22,0.0
2012-05-23,0.0
2012-05-24,0.0
2012-05-25,-397.48397
2012-05-26,0.0
2012-05-27,242.6
2012-05-28,12.86112108
2012-05-29,4.6
2012-05-30,186.06144426
2012-05-31,0.0
2012-06-01,5.63644431
2012-06-02,0.0
2012-06-03,0.0
2012-06-04,20.85083102
2012-06-05,67.90313853
2012-06-06,0.04
2012-06-07,476.4
2012-06-08,0.0
2012-06-09,0.0
2012-06-10,14.0626
2012-06-11,0.0
2012-06-12,1023.36568645
2012-06-13,49.70171171
2012-06-14,1.0
2012-06-15,83.37533242
2012-06-16,13.8892441
2012-06-17,11.04147985
2012-06-18,29.88992601
2012-06-19,0.0
2012-06-20,28.32247806
2012-06-21,407.42994153
2012-06-22,20.86955899
2012-06-23,19.17552006
2012-06-24,34.71209988
2012-06-25,24.15198908
2012-06-26,-4768.12141287
2012-06-27,13.18
2012-06-28,33.45762618
2012-06-29,338.54251244
2012-06-30,457.56947529
2012-07-01,467.43959608
2012-07-02,18.84645207
2012-07-03,4.35378457
2012-07-04,3.60390979
2012-07-05,3.95557879
2012-07-06,477.66654874
2012-07-07,41.5948786
2012-07-08,24.23435252
2012-07-09,12.34861261
2012-07-10,46.32820403
2012-07-11,64.93770066
2012-07-12,-19.1532091
2012-07-13,23.79340433
2012-07-14,16.0519843
2012-07-15,286.67382713
2012-07-16,86.74233718
2012-07-17,4492.8086203
2012-07-18,16.40916099
2012-07-19,-0.08186
2012-07-20,5.27420893
2012-07-21,15.45630831
2012-07-22,3.38094697
2012-07-23,5.84959699
2012-07-24,28.89389327
2012-07-25,-1.61915663
2012-07-26,43.16388645
2012-07-27,22.32465178
2012-07-28,0.01052635
2012-07-29,47.99899119
2012-07-30,16.67749926
2012-07-31,19.34005896
2012-08-01,4.28056
2012-08-02,0.0192
2012-08-03,-0.13648418
2012-08-04,2.09028184
2012-08-05,5.46187099
2012-08-06,8.20374141
2012-08-07,1.07751892
2012-08-08,6.524507
2012-08-09,41.32592968
2012-08-10,19.53693307
2012-08-11,12.88265794
2012-08-12,4.54794584
2012-08-13,20.17470195
2012-08-14,21.56853702
2012-08-15,3.66542778
2012-08-16,20.23505092
2012-08-17,15.52415306
2012-08-18,18.53070304
2012-08-19,7.5004613
2012-08-20,7.10775516
2012-08-21,2.60536961
2012-08-22,5.24128582
2012-08-23,5.70961489
2012-08-24,15.79569028
2012-08-25,3.24220622
2012-08-26,27.59782056
2012-08-27,22.75482802
2012-08-28,14.63467841
2012-08-29,20.78953521
2012-08-30,2.77615633
2012-08-31,6.1874124
2012-09-01,2.55250313
2012-09-02,8.61460033
2012-09-03,11.02892358
2012-09-04,49.06971617
2012-09-05,1.48955152
2012-09-06,15.36588702
2012-09-07,-8.93715088
2012-09-08,0.96208436
2012-09-09,-0.09573485
2012-09-10,1.88106165
2012-09-11,7.8513731
2012-09-12,5.48975564
2012-09-13,0.32847017
2012-09-14,12.42076496
2012-09-15,2.74753534
2012-09-16,2.6630375
2012-09-17,19.4832963
2012-09-18,2.31840233
2012-09-19,4.32381814
2012-09-20,0.5320495
2012-09-21,1.18670068
2012-09-22,10.70867584
2012-09-23,-0.01149752
2012-09-24,52.23998607
2012-09-25,71.62058585
2012-09-26,-55.20864038
2012-09-27,7.84526141
2012-09-28,16.13404142
2012-09-29,0.87098628
2012-09-30,1.15513834
2012-10-01,1.19879214
2012-10-02,0.36374661
2012-10-03,0.9670752
2012-10-04,-109.24367914
2012-10-05,-3.96317118
2012-10-06,-11.90575578
2012-10-07,-0.31471593
2012-10-08,21.1751491
2012-10-09,-0.01517371
2012-10-10,0.58917599
2012-10-11,-23.43955278
2012-10-12,1.96160647
2012-10-13,-0.78990665
2012-10-14,1.38147904
2012-10-15,1.07933547
2012-10-16,10.95364046
2012-10-17,-9.83704281
2012-10-18,0.22489136
2012-10-19,1.14797578
2012-10-20,1.18552044
2012-10-21,-21.11967387
2012-10-22,1.26401672
2012-10-23,1.14354994
2012-10-24,17.8496306
2012-10-25,0.53838846
2012-10-26,-12.81202302
2012-10-27,-1.36388667
2012-10-28,1.16598228
2012-10-29,0.02659491
2012-10-30,2.77442
2012-10-31,5.85472869
2012-11-01,-0.64316589
2012-11-02,14.55041068
2012-11-03,3.80177755
2012-11-04,1.54512163
2012-11-05,0.01810518
2012-11-06,-0.77421034
2012-11-07,-23.25119904
2012-11-08,1.09961957
2012-11-09,0.59277558
2012-11-10,2.15674904
2012-11-11,-1.50060126
2012-11-12,0.01357572
2012-11-13,0.65425855
2012-11-14,0.5931813
2012-11-15,0.53521119
2012-11-16,1.61846003
2012-11-17,-2.54315026
2012-11-18,16.10362643
2012-11-19,-16.24361048
2012-11-20,-0.09110667
2012-11-21,1.51256777
2012-11-22,-1.73736272
2012-11-23,-0.44146512
2012-11-24,0.19730494
2012-11-25,1.53319586
2012-11-26,-1.93482313
2012-11-27,0.38006043
2012-11-28,46.28406444
2012-11-29,-41.39857396
2012-11-30,-3.21377126
2012-12-01,-0.63414482
2012-12-02,10.13178784
2012-12-03,-11.11339568
2012-12-04,4.01697158
2012-12-05,-999.98949818
2012-12-06,-3.9779039
2012-12-07,-0.59091947
2012-12-08,3.89716461
2012-12-09,-1503.79297659
2012-12-10,-999.39595429
2012-12-11,-0.42096307
2012-12-12,-0.87779813
2012-12-13,-4052.22127118
2012-12-14,0.53039435
2012-12-15,4.10975368
2012-12-16,-5.06457346
2012-12-17,2.8547704
2012-12-18,13.41720075
2012-12-19,-15.31439301
2012-12-20,0.0426354
2012-12-21,4.54399606
2012-12-22,-3.2219467
2012-12-23,0.22762738
2012-12-24,-0.27612254
2012-12-25,1053.24783407
2012-12-26,0.96096937
2012-12-27,2.22666844
2012-12-28,1.90336773
2012-12-29,-5.33091008
2012-12-30,0.57454765
2012-12-31,4.52196628
2013-01-01,-2.0560674
2013-01-02,-1.76485823
2013-01-03,9.33064201
2013-01-04,-9.40915648
2013-01-05,0.54577247
2013-01-06,-0.82267019
2013-01-07,7.28911421
2013-01-08,-7.53198971
2013-01-09,5.47079556
2013-01-10,-1.82049588
2013-01-11,-3.16863872
2013-01-12,0.64305284
2013-01-13,-0.28149979
2013-01-14,3.7765779
2013-01-15,-3.34440932
2013-01-16,1.1535707
2013-01-17,-2.49483338
2013-01-18,0.1961357
2013-01-19,0.10817905
2013-01-20,-0.2868886
2013-01-21,3.80460843
2013-01-22,0.25198405
2013-01-23,-8.30334245
2013-01-24,0.48348899
2013-01-25,0.37849533
2013-01-26,-0.3539774
2013-01-27,-0.15163042
2013-01-28,0.68817206
2013-01-29,0.71600615
2013-01-30,0.39594632
2013-01-31,0.52525902
2013-02-01,-1489.95197054
2013-02-02,1.93628823
2013-02-03,-1.46565726
2013-02-04,0.018275
2013-02-05,-0.69307733
2013-02-06,0.07775955
2013-02-07,-1.07329168
2013-02-08,1.00160282
2013-02-09,0.65615749
2013-02-10,-0.3932573
2013-02-11,1.10680442
2013-02-12,-0.47002614
2013-02-13,0.73179635
2013-02-14,-1.00816809
2013-02-15,0.41680121
2013-02-16,7.88108916
2013-02-17,-7.44711154
2013-02-18,0.70018206
2013-02-19,-1.07461784
2013-02-20,0.5382306
2013-02-21,-0.53671669
2013-02-22,-0.31257633
2013-02-23,0.08466106
2013-02-24,-2.99745677
2013-02-25,56873.20149665
2013-02-26,-0.15326615
2013-02-27,0.172268
2013-02-28,0.04750891
2013-03-01,-0.72643538
2013-03-02,0.4130277
2013-03-03,1.20534087
2013-03-04,-1.81444258
2013-03-05,7.25494427
2013-03-06,-4.80373126
2013-03-07,-1.54006088
2013-03-08,0.4538198
2013-03-09,-0.59535096
2013-03-10,0.04284629
2013-03-11,0.08360777
2013-03-12,0.72926417
2013-03-13,2.03984599
2013-03-14,-1.43259007
2013-03-15,6.32692573
2013-03-16,-5.98081672
2013-03-17,8.21354984
2013-03-18,-8.88853394
2013-03-19,19.19186625
2013-03-20,12.4980557
2013-03-21,22.3436398
2013-03-22,63.93024394
2013-03-23,-83.63772114
2013-03-24,-14.72598014
2013-03-25,-16.2113748
2013-03-26,0.03470296
2013-03-27,9.45765812
2013-03-28,-3.33944265
2013-03-29,-7.03455074
2013-03-30,-0.31532252
2013-03-31,0.07324797
2013-04-01,0.2634004
2013-04-02,-0.18084066
2013-04-03,51.38213139
2013-04-04,-1.1284876
2013-04-05,1.29464639
2013-04-06,1.93965974
2013-04-07,-5.34076407
